[0618/083427.958:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73cc001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/083428.314:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73cc001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/083428.628:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73cc001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/084242.564:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fa4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/084242.964:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fa4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/084243.215:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fa4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/084243.513:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fa4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/085323.198:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3aac001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/085323.615:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3aac001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/085323.913:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3aac001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/085324.228:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3aac001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/090547.795:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x369400190200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/090548.413:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x369400190200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/090548.770:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x369400190200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/090549.223:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x369400190200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
